Category,type of category,Type of club,Title
Amenity,Activity,canna,Table Games
Amenity,Activity,canna,Network
Amenity,Activity,canna,VideoGames
Amenity,Activity,canna,Sports on TV
Amenity,Activity,canna,Bingo Time
Amenity,Activity,canna,Pool
Amenity,Activity,canna,DJ
Amenity,Experience,canna,Hash
Amenity,Experience,canna,Kief
Amenity,Experience,canna,Education
Amenity,Experience,canna,Events
Amenity,Experience,canna,Gravity Hookah
Amenity,Experience,canna,Volcano
Amenity,Experience,canna,Vape
Amenity,Experience,canna,Eateables
Amenity,Experience,canna,Wishes
Amenity,Experience,canna,Vaporizer
Amenity,Experience,canna,Extractions
Amenity,Experience,canna,Cali
Amenity,Service,canna,Bongs
Amenity,Service,canna,Pre-roll maker
Amenity,Service,canna,Big F*cking joint
Amenity,Service,canna,Pipes
Amenity,Service,canna,Creativity 
Amenity,Service,canna,Movie
Amenity,Service,canna,OYNW
Amenity,Service,canna,Degustation
Amenity,Service,canna,Performance
Amenity,Service,canna,VR experiense
Amenity,Service,canna,Competitions roll
Amenity,Service,canna,Birthday Pre-roll 
Amenity,Product,canna,Puffco
Amenity,Product,canna,RAW
Amenity,Product,canna,Club T-shirts
Amenity,Product,canna,Lighters merch
Amenity,Product,canna,Rolling Trays merch
Amenity,Product,canna,Stickers merch
